[2026-03-05 14:11:21] INFO: 🚀 Server berjalan di http://localhost:3000
[2026-03-05 14:11:21] INFO: 🔒 Helmet + Rate Limiter aktif
[2026-03-05 14:11:21] INFO: 📋 Log tersimpan di: C:\Users\62851\pos-kasir\src\logs
[2026-03-05 14:11:21] INFO: ⚙️  Belum setup? POST ke /api/auth/setup
[2026-03-05 14:21:51] INFO: 📋 Log tersimpan di: C:\Users\62851\pos-kasir\src\logs
[2026-03-05 14:21:51] INFO: ⚙️  Belum setup? POST ke /api/auth/setup
[2026-03-05 14:21:56] INFO: OPTIONS /api/admin/products 204 — ::1 — 7ms
[2026-03-05 14:21:56] INFO: OPTIONS /api/categories 204 — ::1 — 1ms
[2026-03-05 14:21:56] INFO: GET /api/admin/products 200 — ::1 — 86ms
[2026-03-05 14:21:56] INFO: GET /api/categories 200 — ::1 — 57ms
[2026-03-05 14:21:58] INFO: OPTIONS /api/settings 204 — ::1 — 1ms
[2026-03-05 14:21:58] INFO: GET /api/settings 200 — ::1 — 5ms
[2026-03-05 14:22:00] INFO: OPTIONS /api/users 204 — ::1 — 0ms
[2026-03-05 14:22:01] INFO: GET /api/users 304 — ::1 — 7ms
[2026-03-05 14:22:04] INFO: OPTIONS /api/products/low-stock 204 — ::1 — 1ms
[2026-03-05 14:22:04] INFO: GET /api/products/low-stock 304 — ::1 — 4ms
[2026-03-05 14:22:09] INFO: OPTIONS /api/shifts 204 — ::1 — 0ms
[2026-03-05 14:22:09] INFO: GET /api/shifts 304 — ::1 — 24ms
[2026-03-05 14:22:09] INFO: OPTIONS /api/users 204 — ::1 — 1ms
[2026-03-05 14:22:09] INFO: GET /api/users 304 — ::1 — 3ms
[2026-03-05 14:22:09] INFO: OPTIONS /api/transactions/search 204 — ::1 — 0ms
[2026-03-05 14:22:09] INFO: GET /api/transactions/search 304 — ::1 — 7ms
[2026-03-05 14:22:10] INFO: OPTIONS /api/admin/products 204 — ::1 — 0ms
[2026-03-05 14:22:10] INFO: GET /api/admin/products 304 — ::1 — 3ms
[2026-03-05 14:22:11] INFO: OPTIONS /api/reports/summary 204 — ::1 — 1ms
[2026-03-05 14:22:11] INFO: OPTIONS /api/reports/daily 204 — ::1 — 0ms
[2026-03-05 14:22:11] INFO: OPTIONS /api/reports/top-products 204 — ::1 — 1ms
[2026-03-05 14:22:11] INFO: OPTIONS /api/reports/by-kasir 204 — ::1 — 0ms
[2026-03-05 14:22:11] INFO: OPTIONS /api/reports/by-hour 204 — ::1 — 0ms
[2026-03-05 14:22:11] INFO: GET /api/reports/daily 304 — ::1 — 23ms
[2026-03-05 14:22:11] INFO: GET /api/reports/summary 304 — ::1 — 38ms
[2026-03-05 14:22:11] INFO: GET /api/reports/top-products 304 — ::1 — 37ms
[2026-03-05 14:22:11] INFO: GET /api/reports/by-kasir 304 — ::1 — 42ms
[2026-03-05 14:22:11] INFO: GET /api/reports/by-hour 304 — ::1 — 39ms
[2026-03-05 14:22:15] INFO: OPTIONS /api/users 204 — ::1 — 0ms
[2026-03-05 14:22:15] INFO: GET /api/users 304 — ::1 — 2ms
[2026-03-05 14:22:15] INFO: OPTIONS /api/shifts 204 — ::1 — 0ms
[2026-03-05 14:22:15] INFO: GET /api/shifts 304 — ::1 — 19ms
[2026-03-05 14:22:16] INFO: OPTIONS /api/settings 204 — ::1 — 0ms
[2026-03-05 14:22:16] INFO: GET /api/settings 304 — ::1 — 2ms
[2026-03-05 14:22:20] INFO: OPTIONS /api/settings 204 — ::1 — 1ms
[2026-03-05 14:22:20] INFO: OPTIONS /api/shifts/active 204 — ::1 — 0ms
[2026-03-05 14:22:20] INFO: OPTIONS /api/products 204 — ::1 — 1ms
[2026-03-05 14:22:20] INFO: OPTIONS /api/products/low-stock 204 — ::1 — 1ms
[2026-03-05 14:22:20] INFO: GET /api/settings 304 — ::1 — 6ms
[2026-03-05 14:22:20] INFO: GET /api/shifts/active 304 — ::1 — 12ms
[2026-03-05 14:22:20] INFO: GET /api/products/low-stock 304 — ::1 — 11ms
[2026-03-05 14:22:20] INFO: GET /api/products 304 — ::1 — 16ms
[2026-03-05 14:22:28] INFO: OPTIONS /api/admin/products 204 — ::1 — 0ms
[2026-03-05 14:22:28] INFO: OPTIONS /api/categories 204 — ::1 — 0ms
[2026-03-05 14:22:28] INFO: GET /api/admin/products 200 — ::1 — 16ms
[2026-03-05 14:22:28] INFO: GET /api/categories 200 — ::1 — 15ms
[2026-03-05 14:28:42] WARN: GET /admin.html 404 — ::1 — 4ms
[2026-03-05 14:29:02] WARN: GET /admin.html 404 — ::1 — 0ms
[2026-03-05 14:29:18] WARN: GET /admin.html 404 — ::1 — 0ms
[2026-03-05 14:29:20] WARN: GET /admin.html 404 — ::1 — 1ms
[2026-03-05 14:29:21] WARN: GET /admin.html 404 — ::1 — 0ms
[2026-03-05 14:29:21] WARN: GET /admin.html 404 — ::1 — 0ms
[2026-03-05 14:29:22] WARN: GET /admin.html 404 — ::1 — 1ms
[2026-03-05 14:29:40] WARN: GET /admin.html 404 — ::1 — 1ms
[2026-03-05 14:29:47] WARN: GET /admin.html 404 — ::1 — 1ms
[2026-03-05 14:29:58] WARN: GET /admin.html 404 — ::1 — 1ms
[2026-03-05 14:39:11] INFO: 🚀 Server berjalan di http://localhost:3000
[2026-03-05 14:39:11] INFO: 🔒 Helmet + Rate Limiter aktif
[2026-03-05 14:39:11] INFO: 📋 Log tersimpan di: C:\Users\62851\pos-kasir\src\logs
[2026-03-05 14:39:11] INFO: ⚙️  Belum setup? POST ke /api/auth/setup
[2026-03-05 14:39:15] INFO: GET /admin.html 200 — ::1 — 70ms
[2026-03-05 14:39:16] INFO: GET /manifest.json 200 — ::1 — 16ms
[2026-03-05 14:39:16] WARN: GET /api/admin/products 403 — ::1 — 6ms
[2026-03-05 14:39:16] WARN: GET /api/categories 403 — ::1 — 8ms
[2026-03-05 14:39:16] INFO: GET /login.html 200 — ::1 — 56ms
[2026-03-05 14:39:16] INFO: GET /manifest.json 304 — ::1 — 2ms
[2026-03-05 14:39:16] INFO: GET /sw.js 200 — ::1 — 25ms
[2026-03-05 14:39:16] INFO: GET /login.html 304 — ::1 — 2ms
[2026-03-05 14:39:16] INFO: GET /admin.html 200 — ::1 — 4ms
[2026-03-05 14:39:16] INFO: GET /manifest.json 304 — ::1 — 1ms
[2026-03-05 14:39:16] INFO: GET /kasir.html 200 — ::1 — 53ms
[2026-03-05 14:39:16] WARN: GET /icon-192.png 404 — ::1 — 5ms
[2026-03-05 14:39:16] WARN: GET /favicon.ico 404 — ::1 — 1ms
[2026-03-05 14:39:26] INFO: Login berhasil: admin (admin) {"ip":"::1"}
[2026-03-05 14:39:26] INFO: POST /api/auth/login 200 — ::1 — 182ms
[2026-03-05 14:39:26] INFO: GET /admin.html 304 — ::1 — 1ms
[2026-03-05 14:39:26] INFO: GET /api/admin/products 200 — ::1 — 30ms
[2026-03-05 14:39:26] INFO: GET /manifest.json 304 — ::1 — 1ms
[2026-03-05 14:39:26] INFO: GET /api/categories 200 — ::1 — 31ms
[2026-03-05 14:39:27] WARN: GET /icon-192.png 404 — ::1 — 2ms
[2026-03-05 14:39:28] INFO: GET /sw.js 304 — ::1 — 1ms
[2026-03-05 14:39:31] INFO: GET /api/reports/daily 200 — ::1 — 14ms
[2026-03-05 14:39:31] INFO: GET /api/reports/by-hour 200 — ::1 — 21ms
[2026-03-05 14:39:31] INFO: GET /api/reports/top-products 200 — ::1 — 23ms
[2026-03-05 14:39:31] INFO: GET /api/reports/by-kasir 200 — ::1 — 26ms
[2026-03-05 14:39:31] INFO: GET /api/reports/summary 200 — ::1 — 29ms
[2026-03-05 14:39:33] INFO: GET /api/admin/products 304 — ::1 — 3ms
[2026-03-05 14:39:34] INFO: GET /api/users 200 — ::1 — 3ms
[2026-03-05 14:39:34] INFO: GET /api/transactions/search 200 — ::1 — 3ms
[2026-03-05 14:39:34] INFO: GET /api/shifts 200 — ::1 — 25ms
[2026-03-05 14:39:35] INFO: GET /api/products/low-stock 200 — ::1 — 2ms
[2026-03-05 14:39:36] INFO: GET /api/users 304 — ::1 — 2ms
[2026-03-05 14:39:38] INFO: GET /api/settings 200 — ::1 — 2ms
